Thu Jun 15 07:26:11 2023,Первая,Моя первая заметка
Fri Jun 16 17:21:23 2023,Новая записка,цп
Fri Jun 16 17:43:27 2023,Новая записка,цпфец
Fri Jun 16 17:45:02 2023,Новая записка,Привет моя дорогая
Fri Jun 16 17:45:23 2023,Врач!!!,Завтра не забыть к врачу
Fri Jun 16 17:45:58 2023,работа,в 8:00 встреча на работе
Fri Jun 16 17:52:05 2023,дом,Посадить цветы
Fri Jun 16 17:57:56 2023,Новая записка,впаеряычувроыув
Fri Jun 16 17:58:07 2023,Магазин,Купить сок
Fri Jun 16 17:59:04 2023,вторая попытка,попробуй еще раз
Fri Jun 16 17:59:59 2023,2,паспорт
Fri Jun 16 18:00:48 2023,3,телефон
Fri Jun 16 18:03:12 2023,Вторая,Моя вторая заметка

Fri Jun 16 18:00:48 2023,3,телефон
